Date,Close
1974-03-21,875.47
1974-03-22,878.13
1974-03-25,881.02
1974-03-26,883.68
1974-03-27,871.17
1974-03-28,854.35
1974-03-29,846.68
1974-04-01,843.48
1974-04-02,846.61
1974-04-03,858.03
1974-04-04,858.89
1974-04-05,847.54
1974-04-08,839.96
1974-04-09,846.84
1974-04-10,843.71
1974-04-11,844.81
1974-04-15,843.79
1974-04-16,861.23
1974-04-17,867.41
1974-04-18,869.92
1974-04-19,859.9
1974-04-22,858.57
1974-04-23,845.98
1974-04-24,832.37
1974-04-25,827.68
1974-04-26,834.64
1974-04-29,835.42
1974-04-30,836.75
1974-05-01,853.88
1974-05-02,851.06
1974-05-03,845.9
1974-05-06,844.88
1974-05-07,847.15
1974-05-08,850.99
1974-05-09,865.77
1974-05-10,850.44
1974-05-13,845.59
1974-05-14,847.86
1974-05-15,846.06
1974-05-16,835.34
1974-05-17,818.84
1974-05-20,812.42
1974-05-21,809.53
1974-05-22,802.57
1974-05-23,805.23
1974-05-24,816.65
1974-05-28,814.3
1974-05-29,795.37
1974-05-30,803.58
1974-05-31,802.17
1974-06-03,821.26
1974-06-04,828.69
1974-06-05,830.18
1974-06-06,845.35
1974-06-07,853.72
1974-06-10,859.67
1974-06-11,852.08
1974-06-12,848.56
1974-06-13,852.08
1974-06-14,843.09
1974-06-17,833.23
1974-06-18,830.26
1974-06-19,826.11
1974-06-20,820.79
1974-06-21,815.39
1974-06-24,816.33
1974-06-25,828.85
1974-06-26,816.96
1974-06-27,803.66
1974-06-28,802.41
1974-07-01,806.24
1974-07-02,790.68
1974-07-03,792.87
1974-07-05,791.77
1974-07-08,770.57
1974-07-09,772.29
1974-07-10,762.12
1974-07-11,759.62
1974-07-12,787.23
1974-07-15,786.61
1974-07-16,775.97
1974-07-17,784.97
1974-07-18,789.19
1974-07-19,787.94
1974-07-22,790.36
1974-07-23,797.72
1974-07-24,805.77
1974-07-25,795.68
1974-07-26,784.57
1974-07-29,770.89
1974-07-30,765.57
1974-07-31,757.43
1974-08-01,751.1
1974-08-02,752.58
1974-08-05,760.4
1974-08-06,773.78
1974-08-07,797.56
1974-08-08,784.89
1974-08-09,777.3
1974-08-12,767.29
1974-08-13,756.44
1974-08-14,740.54
1974-08-15,737.88
1974-08-16,731.54
1974-08-19,721.84
1974-08-20,726.85
1974-08-21,711.59
1974-08-22,704.63
1974-08-23,686.8
1974-08-26,688.13
1974-08-27,671.54
1974-08-28,666.61
1974-08-29,656.84
1974-08-30,678.58
1974-09-03,663.33
1974-09-04,648.0
1974-09-05,670.76
1974-09-06,677.88
1974-09-09,662.94
1974-09-10,658.17
1974-09-11,654.72
1974-09-12,641.74
1974-09-13,627.19
1974-09-16,639.79
1974-09-17,648.78
1974-09-18,651.91
1974-09-19,674.05
1974-09-20,670.76
1974-09-23,663.72
1974-09-24,654.1
1974-09-25,649.95
1974-09-26,637.98
1974-09-27,621.95
1974-09-30,607.87
1974-10-01,604.82
1974-10-02,601.53
1974-10-03,587.61
1974-10-04,584.56
1974-10-07,607.56
1974-10-08,602.63
1974-10-09,631.02
1974-10-10,648.08
1974-10-11,658.17
1974-10-14,673.5
1974-10-15,658.4
1974-10-16,642.29
1974-10-17,651.44
1974-10-18,654.88
1974-10-21,669.82
1974-10-22,662.86
1974-10-23,645.03
1974-10-24,636.26
1974-10-25,636.19
1974-10-28,633.84
1974-10-29,659.34
1974-10-30,673.03
1974-10-31,665.52
1974-11-01,665.28
1974-11-04,657.23
1974-11-05,674.75
1974-11-06,669.12
1974-11-07,671.93
1974-11-08,667.16
1974-11-11,672.64
1974-11-12,659.18
1974-11-13,659.18
1974-11-14,658.4
1974-11-15,647.61
1974-11-18,624.92
1974-11-19,614.05
1974-11-20,609.59
1974-11-21,608.57
1974-11-22,615.3
1974-11-25,611.94
1974-11-26,617.26
1974-11-27,619.29
1974-11-29,618.66
1974-12-02,603.02
1974-12-03,596.61
1974-12-04,598.64
1974-12-05,587.06
1974-12-06,577.6
1974-12-09,579.94
1974-12-10,593.87
1974-12-11,595.35
1974-12-12,596.37
1974-12-13,592.77
1974-12-16,586.83
1974-12-17,597.54
1974-12-18,603.49
1974-12-19,604.43
1974-12-20,598.48
1974-12-23,589.64
1974-12-24,598.4
1974-12-26,604.74
1974-12-27,602.16
1974-12-30,603.25
1974-12-31,616.24
1975-01-02,632.04
1975-01-03,634.54
1975-01-06,637.2
1975-01-07,641.19
1975-01-08,635.4
1975-01-09,645.26
1975-01-10,658.79
1975-01-13,654.18
1975-01-14,648.7
1975-01-15,653.39
1975-01-16,655.74
1975-01-17,644.63
1975-01-20,647.45
1975-01-21,641.9
1975-01-22,652.61
1975-01-23,656.76
1975-01-24,666.61
1975-01-27,692.66
1975-01-28,694.77
1975-01-29,705.96
1975-01-30,696.42
1975-01-31,703.69
1975-02-03,711.44
1975-02-04,708.07
1975-02-05,717.85
1975-02-06,714.17
1975-02-07,711.91
1975-02-10,708.39
1975-02-11,707.6
1975-02-12,715.03
1975-02-13,726.92
1975-02-14,734.2
1975-02-18,731.3
1975-02-19,736.39
1975-02-20,745.38
1975-02-21,749.77
1975-02-24,736.94
1975-02-25,719.18
1975-02-26,728.1
1975-02-27,731.15
1975-02-28,739.05
1975-03-03,753.13
1975-03-04,757.74
1975-03-05,752.82
1975-03-06,761.81
1975-03-07,770.1
1975-03-10,776.13
1975-03-11,770.89
1975-03-12,763.69
1975-03-13,762.98
1975-03-14,773.47
1975-03-17,786.53
1975-03-18,779.41
1975-03-19,769.48
1975-03-20,764.0
1975-03-21,763.06
1975-03-24,743.43
1975-03-25,747.89
1975-03-26,766.19
1975-03-27,770.26
1975-03-31,768.15
1975-04-01,761.58
1975-04-02,760.56
1975-04-03,752.19
1975-04-04,747.26
1975-04-07,742.88
1975-04-08,749.22
1975-04-09,767.99
1975-04-10,781.29
1975-04-11,789.5
1975-04-14,806.95
1975-04-15,815.08
1975-04-16,815.71
1975-04-17,819.46
1975-04-18,808.43
1975-04-21,815.86
1975-04-22,814.14
1975-04-23,802.49
1975-04-24,803.66
1975-04-25,811.8
1975-04-28,810.0
1975-04-29,803.04
1975-04-30,821.34
1975-05-01,830.96
1975-05-02,848.48
1975-05-05,855.6
1975-05-06,834.72
1975-05-07,836.44
1975-05-08,840.5
1975-05-09,850.13
1975-05-12,847.47
1975-05-13,850.13
1975-05-14,858.73
1975-05-15,848.8
1975-05-16,837.61
